Titre;Titre VO;Réalisateur;Date de sortie;Pays
Professeur Layton et la Diva éternelle;Reiton-kyoju to Eien no Utahime;Masakazu Hashimoto;19/12/2009;Japon
Pulp Fiction;Pulp Fiction;Quentin Tarantino;24/10/1994;Etats-Unis
Qui veut la peau de Roger Rabbit;Who Framed Roger Rabbit;Robert Zemeckis;;Etats-Unis
Rango;Rango;Gore Verbinski;02/03/2011;Etats-Unis
Requiem for a Dream;Requiem for a Dream;Darren Aronofsky;20/03/2001;Etats-Unis
Rocketman;Rocketman;Dexter Fletcher;22/05/2019;Etats-Unis
Rogue One;Rogue One: A Star Wars Story;Gareth Edwards;10/12/2016;Etats-Unis
Room;Room;Lenny Abrahamson;16/10/2015;Etats-Unis
Sans Un Bruit;A Quiet Place;John Krasinski;01/01/1970;Etats-Unis
Sans un bruit 2;A quiet place part II;John Krasinski;;Etats-Unis
Shaun le mouton, le film;Shaun the Sheep Movie;Mark Burton;05/03/2007;Angleterre
Shutter Island;Shutter Island;Martin Scorsese;19/02/2010;Etats-Unis
Silent Hill;Silent Hill;Christophe Gans;20/04/2006;Canada
Sixième Sens;The Sixth Sense;M. Night Shyamalan;;Etats-Unis
Sleepy Hollow;Sleepy Hollow;Tim Burton;16/11/1999;Etats-Unis
Snatch;Snatch;Guy Ritchie;;Etats-Unis
Sorry To Bother You;Sorry To Bother You;Boots Riley;01/01/1970;Etats-Unis
Soyez sympas, rembobinez;Be Kind Rewind;Michel Gondry;;Etats-Unis
Spider-Man: New Generation;Spider-Man: Into the Spider-Verse;Peter Ramsey;12/12/2018;Etats-Unis
Starbuck;Starbuck;Ken Scott;26/07/2011;Canada
Summer Wars;Sama Wozu;Mamoru Hosoda;01/08/2009;Japon
Sweeney Todd : Le Diabolique Barbier de Fleet Street;Sweeney Todd: The Demon Barber of Fleet Street;Tim Burton;22/01/2008;Etats-Unis
Tenet;Tenet;Christopher Nolan;;Etats-Unis
Thank you for smoking;Thank You for Smoking;Jason Reitman;17/03/2006;Etats-Unis
The Big Short : Le Casse du siècle;The Big Short;Adam McKay;22/12/2015;Etats-Unis
The Boss;The Boss;Ben Falcone;07/04/2016;Etats-Unis
The Dark Knight : Le Chevalier noir;The Dark Knight;Christopher Nolan;18/07/2008;Etats-Unis
The Grand Budapest Hotel;The Grand Budapest Hotel;Wes Anderson;25/02/2014;Etats-Unis
The Last Girl : Celle Qui A Tous Les Dons;The Girl With All The Gifts;Colm McCarthy;;Angleterre
The Voices;The Voices;Marjane Satrapi;06/02/2015;Etats-Unis
Thor : Ragnarok;Thor : Ragnarok;Taika Waititi;07/10/2017;Etats-Unis
Titanic;Titanic;James Cameron;19/12/1997;Etats-Unis
Tom à la ferme;Tom à la ferme;Xavier Dolan;06/07/2016;Canada
Toute la beauté et le sang versé;All the Beauty and the Bloodshed;Laura Poitras;23/11/2022;Etats-Unis
Trois saisons;Three Seasons;Tony Bui;;Vietnam
Tunnel;Teoneol;Kim Seong-hoon;10/08/2016;Corée
Un illustre inconnu;Un illustre inconnu;Matthieu Delaporte;19/11/2014;France
Un long dimanche de fiancailles;Un long dimanche de fiancailles;Jean-Pierre Jeunet;27/10/2004;France
Une Affaire De Famille;Manbiki Kazoku;Koreeda Hirokazu;12/12/2018;Japon
Une sirène à Paris;Une sirène à Paris;Matthias Malzieu;24/06/2020;France
Us;Us;Jordan Peele;22/03/2019;Etats-Unis
Usual Suspect;Usual Suspect;Bryan Singer;16/08/1995;Etats-Unis
Vaiana;Moana;Ron Clements;23/11/2016;Etats-Unis
Very Bad Trip;The Hangover;Todd Phillips;05/06/2009;Etats-Unis
Very Bad Trip 2;The Hangover Part II;Todd Phillips;25/05/2011;Etats-Unis
Vice;Vice;Adam McKay;25/12/2018;Etats-Unis
Vorace;Ravenous;Antonia Bird;19/03/1999;Etats-Unis
X-men;X-men;Bryan Singer;14/07/2000;Etats-Unis
X-Men 2;X-Men 2;Bryan Singer;22/04/2003;Etats-Unis
Pride;Pride;Matthew Warchus;19/05/2014;Angleterre
Conclave;Conclave;Edward Berger;25/10/2024;Etats-Unis
La Forme de l'eau;The Shape of Water;Guillermo del Toro;08/12/2017;Etats-Unis
Chungking Express;Chung Hing sam lam;Wong Kar-wai;14/07/1994;Hong Kong
Mars Express;Mars Express;Jérémie Périn;22/11/2023;France
Flow;Straume;Gints Zilbalodis;30/10/2024;Lettonie
Star Wars, épisode I : La Menace fantôme;Star Wars: Episode I – The Phantom Menace;George Lucas;19/05/1999;Etats-Unis
Star Wars, épisode II : L'Attaque des clones;Star Wars: Episode II – Attack of the Clones;George Lucas;16/05/2002;Etats-Unis
Star Wars, épisode III : La Revanche des Sith;Star Wars: Episode III – Revenge of the Sith;George Lucas;18/05/2005;Etats-Unis
Forrest Gump;Forrest Gump;Robert Zemeckis;06/07/1994;Etats-Unis
Mafia Blues;Analyze This;Harold Ramis;05/03/1999;Etats-Unis
Kingdom of Heaven;Kingdom of Heaven;Ridley Scott;04/05/2005;Etats-Unis
Willow;Willow;Ron Howard;;Etats-Unis
Treasure Island;Treasure Island;Fraser Clarke Heston;22/01/1990;Etats-Unis
Alexandre Nevski;Александр Невский;Sergueï Eisenstein;01/12/1938;Russie
Mission: Impossible 3;Mission: Impossible III;J. J. Abrams;03/05/2006;Etats-Unis
Mission impossible 2;Mission: Impossible II;John Woo;24/05/2000;Etats-Unis
Mission impossible;Mission: Impossible;Brian De Palma;22/05/1996;Etats-Unis
Men in Black 2;Men in Black II;Barry Sonnenfeld;03/07/2002;Etats-Unis
Men in Black;Men in Black;Barry Sonnenfeld;02/07/1997;Etats-Unis
Le Fantôme de Barbe-Noire;Blackbeard's Ghost;Robert Stevenson;08/02/1968;Etats-Unis
